"species","doy","stm.length_cm"
"A",155,31.6225
"A",155,30.7125
"A",155,25.1766666666667
"A",155,20.7783333333333
"A",155,27.1483333333333
"A",155,31.0916666666667
"A",155,34.8833333333333
"A",155,25.7075
"A",155,28.0583333333333
"A",155,27.5527777767667
"A",155,27.5527777798
"A",155,20.7025
"A",194,51.2633333333333
"A",194,46.1066666666667
"A",194,56.875
"A",194,42.9216666666667
"A",194,68.0983333333333
"A",194,59.9841666666667
"A",194,72.7241666666667
"A",194,54.8275
"A",194,42.3908333333333
"A",194,46.1066666666667
"A",194,56.2683333333333
"A",194,47.4716666666667
"A",194,44.9438888899
"A",194,45.7275
"A",194,38.5233333333333
"A",194,53.7658333333333
"A",194,57.1025
"A",194,35.7933333333333
"A",194,53.7658333333333
"A",194,39.585
"A",194,55.2066666666667
"A",194,47.6233333333333
"A",194,34.2008333333333
"A",194,35.7933333333333
"A",237,89.0283333333333
"A",237,62.335
"A",237,73.8616666666667
"A",237,94.4125
"A",237,83.0375
"A",237,80.3075
"A",237,101.01
"A",237,84.7816666666667
"A",237,75.4541666666667
"A",237,77.805
"A",237,71.435
"A",237,77.805
